Country;GDP per capita (USD);Life satisfaction
Russia;26.456;5,8
Greece;27.287;5,4
Turkey;28.385;5,5
Latvia;29.932;5,9
Hungary;31.008;5,6
Portugal;32.181;5,4
Poland;3.224;6,1
Estonia;35.638;5,7
Spain;36.215;6,3
Slovenia;36.548;5,9
Lithuania;3.673;5,9
Israel;38.341;7,2
Italy;38.992;6
United Kingdom;4.163;6,8
France;42.026;6,5
New Zealand;42.404;7,3
Canada;45.857;7,4
Finland;4.726;7,6
Belgium;48.210;6,9
Australia;48.698;7,3
Sweden;50.683;7,3
Germany;50.922;7
Austria;51.936;7,1
Iceland;52.280;7,5
Netherlands;54.210;7,4
Denmark;55.938;7,6
United States;60.236;6,9
